name,sourcefile,cloneof,year,manufacturer,status
hthero93u,taito_f3.cpp,cupfinal,1993,Taito Corporation,good
hthero94,taito_f3.cpp,intcup94,1994,Taito America Corporation,good
hthero95,taito_f3.cpp,pwrgoal,1994,Taito Corporation,good
hthero95u,taito_f3.cpp,pwrgoal,1994,Taito America Corporation,good
httip_l1,s3.cpp,,1977,Williams,preliminary
hulk,gts1.cpp,,1979,Gottlieb,preliminary
hummerxt,lindbergh.cpp,,2009,Sega,preliminary
hunchbak,cvs.cpp,,1983,Century Electronics,imperfect
hunchbaka,cvs.cpp,hunchbak,1983,Century Electronics,imperfect
hunchbkd,dkong.cpp,hunchbak,1983,Century Electronics,good
hunchbkg,galaxold.cpp,hunchbak,1983,Century Electronics,good
hunchbks,scramble.cpp,hunchbak,1983,Century Electronics,good
hunchbks2,scramble.cpp,hunchbak,1983,bootleg (Sig),good
huncholy,cvs.cpp,,1984,Century Electronics / Seatongrove Ltd,imperfect
hunter2,hunter2.cpp,,1981,Husky,preliminary
hurr_l2,wpc_dot.cpp,,1991,Williams,preliminary
hustle,blockade.cpp,,1977,Gremlin,imperfect
hustler,scobra.cpp,,1981,Konami,good
hustlerb,scobra.cpp,hustler,1981,bootleg (Digimatic),good
hustlerb2,scobra.cpp,hustler,1981,bootleg,good
hustlerb3,galaxold.cpp,hustler,1981,bootleg (Videotron),good
hustlerb4,scobra.cpp,hustler,1981,bootleg,good
hustlerd,scobra.cpp,hustler,1981,Konami (Dynamo Games license),good
hvnsgate,zn.cpp,,1996,Racdym / Atlus,imperfect
hvoltage,equites.cpp,,1985,Alpha Denshi Co.,preliminary
hvymetal,system1.cpp,,1985,Sega,good
hvymetap,by6803.cpp,,1987,Bally,preliminary
hvysmsh,deco156.cpp,,1993,Data East Corporation,good
hvysmsha,deco156.cpp,hvysmsh,1993,Data East Corporation,good
hvysmshj,deco156.cpp,hvysmsh,1993,Data East Corporation,good
hvyunit,hvyunit.cpp,,1988,Kaneko / Taito,good
hvyunitj,hvyunit.cpp,hvyunit,1988,Kaneko / Taito,good
hvyunitjo,hvyunit.cpp,hvyunit,1988,Kaneko / Taito,good
hvyunitu,hvyunit.cpp,hvyunit,1988,Kaneko / Taito,good
hwchamp,segas16b.cpp,,1987,Sega,good
hwchampj,segas16b.cpp,hwchamp,1987,Sega,good
hwchampjd,segas16b.cpp,hwchamp,1987,bootleg,good
hwrace,taitosj.cpp,,1983,Taito Corporation,good
hx10,msx.cpp,,1984,Toshiba,good
hx10d,msx.cpp,hx10,1984,Toshiba,good
hx10dp,msx.cpp,hx10,1984,Toshiba,good
hx10e,msx.cpp,hx10,1984,Toshiba,good
hx10f,msx.cpp,hx10,1984,Toshiba,good
hx10s,msx.cpp,hx10,1984,Toshiba,good
hx10sa,msx.cpp,hx10,1984,Toshiba,good
hx20,msx.cpp,,1984,Toshiba,good
hx20i,msx.cpp,hx20,1984,Toshiba,good
hx21,msx.cpp,,1984,Toshiba,preliminary
hx21i,msx.cpp,hx21,1984,Toshiba,good
hx22,msx.cpp,,1984,Toshiba,preliminary
hx22i,msx.cpp,hx22,1984,Toshiba,good
hx23,msx.cpp,hx23i,1986,Toshiba,good
hx23f,msx.cpp,hx23i,1986,Toshiba,good
hx23i,msx.cpp,,19??,Toshiba,good
hx33,msx.cpp,,1985,Toshiba,good
hx34,msx.cpp,hx34i,1985,Toshiba,good
hx34i,msx.cpp,,1985,Toshiba,good
hxhdci2k,cxhumax.cpp,,2008,HUMAX,preliminary
hydra,atarig1.cpp,,1990,Atari Games,good
hydrap,atarig1.cpp,hydra,1990,Atari Games,good
hydrap2,atarig1.cpp,hydra,1990,Atari Games,good
hydrthnd,midqslvr.cpp,,1999,Midway Games,preliminary
hyhoo,hyhoo.cpp,,1987,Nichibutsu,good
hyhoo2,hyhoo.cpp,,1987,Nichibutsu,good
hyouban,nbmj8991.cpp,galkoku,1989,Nichibutsu / T.R.Tec,good
hypbbc2p,ksys573.cpp,,1999,Konami,imperfect
hypbbc2pk,ksys573.cpp,hypbbc2p,1999,Konami,imperfect
hypbl_l2,s7.cpp,hypbl_l4,1981,Williams,preliminary
hypbl_l4,s7.cpp,,1981,Williams,preliminary
hyperath,konamigv.cpp,,1996,Konami,imperfect
hyperbbc,ksys573.cpp,,1998,Konami,imperfect
hyperbbca,ksys573.cpp,hyperbbc,1998,Konami,imperfect
hyperpac,snowbros.cpp,,1995,SemiCom,good
hyperpacb,snowbros.cpp,hyperpac,1995,bootleg,good
hyperspc,asteroid.cpp,asteroid,1979,bootleg (Rumiano),good
hyperspt,hyperspt.cpp,,1984,Konami (Centuri license),good
hypersptb,hyperspt.cpp,hyperspt,1984,bootleg,imperfect
hyperv2,globalvr.cpp,,2002,Global VR,preliminary
hyperv2a,globalvr.cpp,,2001,Global VR,preliminary
hyprdriv,seattle.cpp,,1998,Midway Games,good
hyprduel,hyprduel.cpp,,1993,Technosoft,good
hyprduel2,hyprduel.cpp,hyprduel,1993,Technosoft,good
hypreac2,ssv.cpp,,1997,Sammy,good
hypreact,ssv.cpp,,1995,Sammy,good
hyprolym,trackfld.cpp,trackfld,1983,Konami,good
hyprolymb,trackfld.cpp,trackfld,1983,bootleg,imperfect
hyprolymba,trackfld.cpp,trackfld,1983,bootleg,imperfect
hypsptsp,88games.cpp,88games,1988,Konami,good
i500_10r,wpc_s.cpp,i500_11r,1995,Bally,preliminary
i500_11b,wpc_s.cpp,i500_11r,1995,Bally,preliminary
i500_11r,wpc_s.cpp,,1995,Bally,preliminary
i7000,i7000.cpp,,1982,Itautec,preliminary
