name,sourcefile,cloneof,year,manufacturer,status
bootcampa,combatsc.cpp,combatsc,1987,Konami,good
bosco,galaga.cpp,,1981,Namco,imperfect
boscomd,galaga.cpp,bosco,1981,Namco (Midway license),imperfect
boscomdo,galaga.cpp,bosco,1981,Namco (Midway license),imperfect
boscoo,galaga.cpp,bosco,1981,Namco,imperfect
boscoo2,galaga.cpp,bosco,1981,Namco,imperfect
botanic,bagman.cpp,,1983,Itisa,good
botanicf,bagman.cpp,botanic,1984,Itisa (Valadon Automation license),good
bottom9,bottom9.cpp,,1989,Konami,good
bottom9n,bottom9.cpp,bottom9,1989,Konami,good
bounty,zodiack.cpp,,1982,Orca,good
bountyh,gts80b.cpp,,1985,Gottlieb,preliminary
boxingb,cinemat.cpp,,1981,Cinematronics,imperfect
bpengo,hh_hmcs40.cpp,,1983,Bandai,preliminary
br8641,br8641.cpp,,1986,Brandt,preliminary
bradley,bzone.cpp,,1980,Atari,good
brailab4,homelab.cpp,homelab2,1984,Jozsef and Endre Lukacs,preliminary
brain,system1.cpp,,1986,Coreland / Sega,good
braiplus,homelab.cpp,homelab2,1988,Jozsef and Endre Lukacs,preliminary
brasil86,goldnpkr.cpp,,1986,<unknown>,good
brasil87,goldnpkr.cpp,,1987,<unknown>,good
brasil89,goldnpkr.cpp,,1989,<unknown>,good
brasil89a,goldnpkr.cpp,brasil89,1989,<unknown>,good
brdrlinb,vicdual.cpp,brdrline,1981,bootleg (Karateco),preliminary
brdrline,vicdual.cpp,,1981,Sega,preliminary
brdrlinet,vicdual.cpp,brdrline,1981,Sega,preliminary
brdrlins,vicdual.cpp,brdrline,1981,bootleg (Sidam),preliminary
break86,vd.cpp,,1986,Videodens,preliminary
breywood,dec8.cpp,shackled,1986,Data East Corporation,good
bridgec3,fidelz80.cpp,vbrc,1980,Fidelity Electronics,preliminary
brix,jack.cpp,zzyzzyxx,1982,Cinematronics / Advanced Microcomputer Systems,good
brkblast,wallc.cpp,wallc,1984,bootleg (Fadesa),good
brkthru,brkthru.cpp,,1986,Data East USA,good
brkthruj,brkthru.cpp,brkthru,1986,Data East Corporation,good
bronx,nycaptor.cpp,cyclshtg,1986,bootleg,imperfect
brubber,btime.cpp,,1982,Data East,good
bruc100,msx.cpp,,1984,Frael,good
brvteam,inder.cpp,,1985,Inder,preliminary
bshark,taito_z.cpp,,1989,Taito Corporation Japan,imperfect
bsharkj,taito_z.cpp,bshark,1989,Taito Corporation,imperfect
bsharkjjs,taito_z.cpp,bshark,1989,Taito Corporation,imperfect
bsharku,taito_z.cpp,bshark,1989,Taito America Corporation,imperfect
bstrk_l1,s4.cpp,,1983,Williams,preliminary
btime,btime.cpp,,1982,Data East Corporation,good
btime2,btime.cpp,btime,1982,Data East Corporation,good
btime3,btime.cpp,btime,1982,Data East USA Inc.,good
btimem,btime.cpp,btime,1982,Data East (Bally Midway license),good
btlecity,vsnes.cpp,,1985,Namco,good
btlfield,alpha68k.cpp,timesold,1987,Alpha Denshi Co. (SNK license),good
btlfieldb,alpha68k.cpp,timesold,1987,bootleg,good
bub68705,bublbobl.cpp,bublbobl,1986,bootleg,good
bubbles,williams.cpp,,1982,Williams,good
bubblesp,williams.cpp,bubbles,1982,Williams,good
bubblesr,williams.cpp,bubbles,1982,Williams,good
bublbobl,bublbobl.cpp,,1986,Taito Corporation,good
bublbobl1,bublbobl.cpp,bublbobl,1986,Taito Corporation,good
bublboblr,bublbobl.cpp,bublbobl,1986,Taito America Corporation (Romstar license),good
bublboblr1,bublbobl.cpp,bublbobl,1986,Taito America Corporation (Romstar license),good
bubsys,nemesis.cpp,,1985,Konami,preliminary
buccanrs,vigilant.cpp,,1989,Duintronic,good
buccanrsa,vigilant.cpp,buccanrs,1989,Duintronic,good
buckrgrs,gts1.cpp,,1980,Gottlieb,preliminary
buckrog,turbo.cpp,,1982,Sega,imperfect
buckrogn,turbo.cpp,buckrog,1982,Sega,imperfect
buckrogn2,turbo.cpp,buckrog,1982,Sega,imperfect
buggyboy,tx1.cpp,,1985,Tatsumi,good
buggyboyjr,tx1.cpp,buggyboy,1986,Tatsumi,good
buggychl,buggychl.cpp,,1984,Taito Corporation,imperfect
buggychlt,buggychl.cpp,buggychl,1984,Taito Corporation (Tecfri license),imperfect
bullet,segas16b.cpp,,1987,Sega,good
bulletd,segas16b.cpp,bullet,1987,bootleg,good
bullfgt,system1.cpp,,1984,Coreland / Sega,good
bullfgtr,equites.cpp,,1984,Alpha Denshi Co.,imperfect
bullfgtrs,equites.cpp,bullfgtr,1984,Alpha Denshi Co. (Sega license),imperfect
bullsdrt,centiped.cpp,,1985,Shinkai Inc. (Magic Electronics Inc. license),preliminary
bullsdrtg,galaxold.cpp,bullsdrt,1985,Senko Industries,preliminary
bullseye,by35.cpp,,1986,Grand Products,preliminary
bultrman,hh_hmcs40.cpp,,1983,Bandai,preliminary
buraiken,lwings.cpp,avengers,1987,Capcom,good
buraikenb,lwings.cpp,avengers,1987,Capcom,good
burnforc,namcos2.cpp,,1989,Namco,good
burnforco,namcos2.cpp,burnforc,1989,Namco,good
buster,buster.cpp,,1982,Marian Electronics Ltd.,preliminary
butasan,argus.cpp,,1987,NMK (Jaleco license),imperfect
butasanj,argus.cpp,butasan,1987,NMK (Jaleco license),imperfect
buzzard,kyugo.cpp,gyrodine,1984,Crux,good
bw12,bw12.cpp,,1984,Bondwell Holding,good
bw14,bw12.cpp,bw12,1984,Bondwell Holding,good
bw2,bw2.cpp,,1985,Bondwell Holding,good
bw230,pc.cpp,ibm5150,1985,Bondwell Holding,good
bwcasino,pacman.cpp,,1983,Epos Corporation,good
bwidow,bwidow.cpp,,1982,Atari,good
bwidowp,bwidow.cpp,bwidow,1982,Atari,preliminary
bwings,bwing.cpp,,1984,Data East Corporation,good
bwingsa,bwing.cpp,bwings,1984,Data East Corporation,good
bwingso,bwing.cpp,bwings,1984,Data East Corporation,good
bx256hp,cbm2.cpp,b128hp,1983,Commodore Business Machines,preliminary
bygone,lkage.cpp,,1985,Taito Corporation,imperfect
bzaxxon,hh_hmcs40.cpp,,1982,Bandai,preliminary
bzone,bzone.cpp,,1980,Atari,good
bzonea,bzone.cpp,bzone,1980,Atari,good
bzonec,bzone.cpp,bzone,1980,Atari,good
c10,c10.cpp,,1982,Cromemco,preliminary
c116,plus4.cpp,c264,1984,Commodore Business Machines,good
c128,c128.cpp,,1985,Commodore Business Machines,good
c128_de,c128.cpp,c128,1985,Commodore Business Machines,good
c128_se,c128.cpp,c128,1985,Commodore Business Machines,good
c128cr,c128.cpp,c128,1986,Commodore Business Machines,good
c128d,c128.cpp,c128,1986,Commodore Business Machines,good
c128d81,c128.cpp,c128,1986,Commodore Business Machines,good
c128dcr,c128.cpp,c128,1987,Commodore Business Machines,good
c128dcr_de,c128.cpp,c128,1987,Commodore Business Machines,good
c128dcr_se,c128.cpp,c128,1987,Commodore Business Machines,good
c128dcrp,c128.cpp,c128,1987,Commodore Business Machines,good
c128dp,c128.cpp,c128,1986,Commodore Business Machines,good
c128p,c128.cpp,,1985,Commodore Business Machines,good
c16,plus4.cpp,c264,1984,Commodore Business Machines,good
c16_hu,plus4.cpp,c264,1984,Commodore Business Machines,good
c16p,plus4.cpp,c264,1984,Commodore Business Machines,good
c1p,osi.cpp,sb2m600b,1980,Ohio Scientific,preliminary
c1pmf,osi.cpp,sb2m600b,1980,Ohio Scientific,preliminary
c232,plus4.cpp,c264,1984,Commodore Business Machines,good
c264,plus4.cpp,,1984,Commodore Business Machines,imperfect
c2717,pmd85.cpp,pmd851,1989,Zbrojovka Brno,good
c2717pmd,pmd85.cpp,pmd851,1989,Zbrojovka Brno,preliminary
c64,c64.cpp,,1982,Commodore Business Machines,good
c64_jp,c64.cpp,c64,1982,Commodore Business Machines,good
c64_se,c64.cpp,c64,1982,Commodore Business Machines,good
c64c,c64.cpp,c64,1986,Commodore Business Machines,good
c64c_es,c64.cpp,c64,1988,Commodore Business Machines,good
c64c_se,c64.cpp,c64,1986,Commodore Business Machines,good
c64cp,c64.cpp,c64,1986,Commodore Business Machines,good
c64g,c64.cpp,c64,1986,Commodore Business Machines,good
c64p,c64.cpp,c64,1982,Commodore Business Machines,good
c80,c80.cpp,,1986,Joachim Czepa,good
c8002,onyx.cpp,,1982,Onyx,preliminary
c900,c900.cpp,,1985,Commodore,preliminary
cabal,cabal.cpp,,1988,TAD Corporation,good
cabala,cabal.cpp,cabal,1989,TAD Corporation (Alpha Trading license),good
cabalbl,cabal.cpp,cabal,1988,bootleg (Red Corporation),imperfect
cabalbl2,cabal.cpp,cabal,1988,bootleg,good
cabalus,cabal.cpp,cabal,1988,TAD Corporation (Fabtek license),good
cabalus2,cabal.cpp,cabal,1988,TAD Corporation (Fabtek license),good
cadanglr,decocass.cpp,,1982,Data East Corporation,good
cadash,asuka.cpp,,1989,Taito Corporation Japan,good
cadashf,asuka.cpp,cadash,1989,Taito Corporation Japan,good
cadashg,asuka.cpp,cadash,1989,Taito Corporation Japan,good
cadashi,asuka.cpp,cadash,1989,Taito Corporation Japan,good
cadashj,asuka.cpp,cadash,1989,Taito Corporation,good
cadashj1,asuka.cpp,cadash,1989,Taito Corporation,good
cadashjo,asuka.cpp,cadash,1989,Taito Corporation,good
cadashp,asuka.cpp,cadash,1989,Taito Corporation Japan,good
cadashu,asuka.cpp,cadash,1989,Taito America Corporation,good
calibr50,seta.cpp,,1989,Athena / Seta,good
calipso,galaxian.cpp,,1982,Tago Electronics,good
calorie,calorie.cpp,,1986,Sega,good
calorieb,calorie.cpp,calorie,1986,bootleg,good
cameltry,taito_f2.cpp,,1989,Taito America Corporation,good
cameltrya,taito_f2.cpp,cameltry,1989,Taito America Corporation,good
cameltryau,taito_f2.cpp,cameltry,1989,Taito America Corporation,good
cameltryj,taito_f2.cpp,cameltry,1989,Taito Corporation,good
canasta,inder.cpp,,1986,Inder,preliminary
candory,pacman.cpp,ponpoko,1982,bootleg,good
cannonb,cclimber.cpp,cannonbp,1985,bootleg (Soft),imperfect
cannonb2,cclimber.cpp,cannonbp,1985,bootleg (TV Game Gruenberg),good
cannonb3,cclimber.cpp,cannonbp,1985,bootleg (Soft),good
canons80,canon_s80.cpp,,1988,Canon,preliminary
canonv10,msx.cpp,canonv20,1983,Canon,good
canonv20,msx.cpp,,1983,Canon,good
canonv20e,msx.cpp,canonv20,1983,Canon,good
canonv20f,msx.cpp,canonv20,1983,Canon,good
canonv20g,msx.cpp,canonv20,1983,Canon,good
canonv20s,msx.cpp,canonv20,1983,Canon,good
canonv25,msx.cpp,,1985,Canon,good
canonv30,msx.cpp,,1985,Canon,good
canonv30f,msx.cpp,canonv30,1985,Canon,good
canonv8,msx.cpp,,1983,Canon,good
canvas,mainsnk.cpp,,1985,SNK,good
capbowl,capbowl.cpp,,1988,Incredible Technologies / Capcom,good
capbowl2,capbowl.cpp,capbowl,1988,Incredible Technologies / Capcom,good
capbowl3,capbowl.cpp,capbowl,1988,Incredible Technologies / Capcom,good
capbowl4,capbowl.cpp,capbowl,1988,Incredible Technologies / Capcom,good
capitol,phoenix.cpp,pleiads,1981,bootleg? (Universal Video Spiel),imperfect
caractn,btime.cpp,brubber,1982,bootleg,good
caractn2,btime.cpp,brubber,1982,bootleg,good
carjmbre,carjmbre.cpp,,1983,"Omori Electric Co., Ltd.",imperfect
carnival,vicdual.cpp,,1980,Sega,imperfect
carnivalc,vicdual.cpp,carnival,1980,Sega,imperfect
carnivalh,vicdual.cpp,carnival,1980,Sega,imperfect
carnivalha,vicdual.cpp,carnival,1980,Sega,imperfect
casbjack,meyc8080.cpp,,1983,"Meyco Games, Inc.",imperfect
cashquiz,pingpong.cpp,,1986,Zilec-Zenitone,imperfect
casino5,merit.cpp,,1984,Merit,good
caspoker,goldnpkr.cpp,,1987,PM / Beck Elektronik,imperfect
castfant,decocass.cpp,,1981,Data East Corporation,good
castrev,castle.cpp,,1987,Castle,preliminary
caswin,caswin.cpp,rcasino,1985,Aristocrat,imperfect
cat,cat.cpp,,1987,Canon,preliminary
catacomb,galaxian.cpp,,1982,MTM Games,preliminary
catacomp,st_mp200.cpp,,1981,Stern,preliminary
catapult,epos.cpp,,1982,Epos Corporation,preliminary
catch22,exidy440.cpp,combat,1985,Exidy,good
caterplr,centiped.cpp,centiped,1980,bootleg (Olympia),good
catnmous,laserbat.cpp,,1982,Zaccaria,imperfect
catnmousa,laserbat.cpp,catnmous,1982,Zaccaria,preliminary
cavelon,scramble.cpp,,1983,Jetsoft,good
caveman,gts80a.cpp,,1981,Gottlieb,preliminary
cavemana,gts80a.cpp,caveman,1981,Gottlieb,preliminary
cavenger,ladybug.cpp,,1981,Universal,good
cavnegro,taito.cpp,,1981,Taito do Brasil,preliminary
cavnegro1,taito.cpp,cavnegro,1981,Taito do Brasil,preliminary
cavnegro2,taito.cpp,cavnegro,1981,Taito do Brasil,preliminary
cbasebal,cbasebal.cpp,,1989,Capcom,good
cbdash,decocass.cpp,,1985,Data East Corporation,good
cbm4016,pet.cpp,pet4016,1980,Commodore Business Machines,good
cbm4032,pet.cpp,pet4016,1980,Commodore Business Machines,good
cbm4032b,pet.cpp,pet4032b,1980,Commodore Business Machines,good
