name,sourcefile,cloneof,year,manufacturer,description,status
1944j,cps2.cpp,1944,2000,Eighting / Raizing (Capcom license),1944: The Loop Master (Japan 000620),good
1945kiii,1945kiii.cpp,,2000,Oriental Soft,1945k III,good
19in1,39in1.cpp,39in1,2004,bootleg,19 in 1 MAME bootleg,preliminary
19xx,cps2.cpp,,1996,Capcom,19XX: The War Against Destiny (USA 951207),good
19xxa,cps2.cpp,19xx,1996,Capcom,19XX: The War Against Destiny (Asia 960104),good
19xxar1,cps2.cpp,19xx,1996,Capcom,19XX: The War Against Destiny (Asia 951207),good
19xxb,cps2.cpp,19xx,1996,Capcom,19XX: The War Against Destiny (Brazil 951218),good
19xxd,cps2.cpp,19xx,1996,bootleg,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg),good
19xxh,cps2.cpp,19xx,1996,Capcom,19XX: The War Against Destiny (Hispanic 951218),good
19xxj,cps2.cpp,19xx,1996,Capcom,"19XX: The War Against Destiny (Japan 960104, yellow case)",good
19xxjr1,cps2.cpp,19xx,1996,Capcom,19XX: The War Against Destiny (Japan 951225),good
19xxjr2,cps2.cpp,19xx,1996,Capcom,19XX: The War Against Destiny (Japan 951207),good
1on1gov,zn.cpp,,2000,Tecmo,1 on 1 Government (Japan),imperfect
2020bb,neogeo_noslot.cpp,,1991,SNK / Pallas,2020 Super Baseball (set 1),good
2020bba,neogeo_noslot.cpp,2020bb,1991,SNK / Pallas,2020 Super Baseball (set 2),good
2020bbh,neogeo_noslot.cpp,2020bb,1991,SNK / Pallas,2020 Super Baseball (set 3),good
20pacgal,20pacgal.cpp,,2000,Namco / Cosmodog,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08),imperfect
20pacgalr0,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00),imperfect
20pacgalr1,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01),imperfect
20pacgalr2,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02),imperfect
20pacgalr3,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03),imperfect
20pacgalr4,20pacgal.cpp,20pacgal,2000,Namco / Cosmodog,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04),imperfect
24_130,sam.cpp,24_150,2009,Stern,24 v1.30,preliminary
24_140,sam.cpp,24_150,2009,Stern,24 v1.40,preliminary
24_144,sam.cpp,24_150,2009,Stern,24 v1.44,preliminary
24_150,sam.cpp,,2009,Stern,24 v1.50,preliminary
24cdjuke,24cdjuke.cpp,,1988,Midcoin,Midcoin Juke Box 24CD,preliminary
25pacman,20pacgal.cpp,,2006,Namco / Cosmodog,Pac-Man - 25th Anniversary Edition (Rev 3.00),preliminary
25pacmano,20pacgal.cpp,25pacman,2005,Namco / Cosmodog,Pac-Man - 25th Anniversary Edition (Rev 2.00),imperfect
280zzzap,mw8080bw.cpp,,1976,Dave Nutting Associates / Midway,280-ZZZAP,preliminary
2mindril,2mindril.cpp,,1993,Taito,Two Minute Drill,preliminary
2spicy,lindbergh.cpp,,2007,Sega,2 Spicy,preliminary
30test,30test.cpp,,1997,Namco,30 Test (Remake),good
32x,megadriv.cpp,,1994,Sega,"Genesis with 32X (USA, NTSC)",preliminary
32x_mcd,megadriv.cpp,32x_scd,1995,Sega,"Mega-CD with 32X (Europe, PAL)",preliminary
32x_mcdj,megadriv.cpp,32x_scd,1994,Sega,"Mega-CD with 32X (Japan, NTSC)",preliminary
32x_scd,megadriv.cpp,,1994,Sega,"Sega CD with 32X (USA, NTSC)",preliminary
32xe,megadriv.cpp,32x,1994,Sega,"Mega Drive with 32X (Europe, PAL)",preliminary
32xj,megadriv.cpp,32x,1994,Sega,"Mega Drive with 32X (Japan, NTSC)",preliminary
386i,ngen.cpp,ngen,1990,Convergent Technologies,386i,preliminary
39in1,39in1.cpp,,2004,bootleg,39 in 1 MAME bootleg,imperfect
3b1,unixpc.cpp,,1985,AT&T,3B1,preliminary
3bagflnz,aristmk4.cpp,3bagflvt,1996,Aristocrat,"3 Bags Full (3VXFC5345, New Zealand)",good
3bagflvt,aristmk4.cpp,,1996,Aristocrat,"3 Bags Full (5VXFC790, Victoria)",good
3countb,neogeo_noslot.cpp,,1993,SNK,3 Count Bout / Fire Suplex (NGM-043)(NGH-043),good
3do,3do.cpp,,1991,The 3DO Company,3DO (NTSC),preliminary
3do_m2,konamim2.cpp,,199?,3DO,3DO M2,preliminary
3do_pal,3do.cpp,3do,1991,The 3DO Company,3DO (PAL),preliminary
3dobios,3do.cpp,,1991,The 3DO Company,3DO Bios,preliminary
3in1semi,snowbros.cpp,,1998,SemiCom / XESS,New HyperMan (3-in-1 with Cookie & Bibi & HyperMan),good
3kokushi,metro.cpp,,1996,Mitchell,Sankokushi (Japan),imperfect
3lilpigs,piggypas.cpp,,199?,Doyle & Assoc.,3 Lil' Pigs,preliminary
3on3dunk,inufuku.cpp,,1996,Video System Co.,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)",imperfect
3stooges,gottlieb.cpp,,1984,Mylstar,The Three Stooges In Brides Is Brides (set 1),good
3stoogesa,gottlieb.cpp,3stooges,1984,Mylstar,The Three Stooges In Brides Is Brides (set 2),good
3super8,spoker.cpp,spk116it,1993?,<unknown>,3 Super 8 (Italy),preliminary
3wishrd,atronic.cpp,,2002,Atronic,Three Wishes Red (Russia) (Atronic),preliminary
3wonders,cps1.cpp,,1991,Capcom,Three Wonders (World 910520),good
3wondersb,cps1.cpp,3wonders,1991,bootleg,Three Wonders (bootleg),good
3wondersh,cps1.cpp,3wonders,1991,bootleg,Three Wonders (hack),good
3wondersr1,cps1.cpp,3wonders,1991,Capcom,Three Wonders (World 910513),good
3wondersu,cps1.cpp,3wonders,1991,Capcom,Three Wonders (USA 910520),good
3x3puzzl,3x3puzzl.cpp,,1998,Ace Enterprise,3X3 Puzzle (Enterprise),good
3x3puzzla,3x3puzzl.cpp,3x3puzzl,1998,Ace Enterprise,3X3 Puzzle (Normal),good
4004clk,4004clk.cpp,,2008,John L. Weinrich,4004 Nixie Clock,good
40love,40love.cpp,,1984,Taito Corporation,Forty-Love,imperfect
47pie2,ms32.cpp,,1994,Jaleco,Idol Janshi Su-Chi-Pie 2 (v1.1),imperfect
47pie2o,ms32.cpp,47pie2,1994,Jaleco,Idol Janshi Su-Chi-Pie 2 (v1.0),imperfect
48in1,39in1.cpp,39in1,2004,bootleg,"48 in 1 MAME bootleg (set 1, ver 3.09)",preliminary
48in1a,39in1.cpp,39in1,2004,bootleg,"48 in 1 MAME bootleg (set 3, ver 3.02)",preliminary
48in1b,39in1.cpp,39in1,2004,bootleg,"48 in 1 MAME bootleg (set 2, ver 3.09, alt flash)",preliminary
4dwarrio,system1.cpp,,1985,Coreland / Sega,4-D Warriors (315-5162),good
4enlinea,4enlinea.cpp,,1991,Compumatic,Cuatro en Linea,preliminary
4enraya,4enraya.cpp,,1990,IDSA,4 En Raya (set 1),good
4enrayaa,4enraya.cpp,4enraya,1990,IDSA,4 En Raya (set 2),good
4in1,galaxold.cpp,,1981,Armenia / Food and Fun,4 Fun in 1,imperfect
4in1a,39in1.cpp,39in1,2004,bootleg,"4 in 1 MAME bootleg (set 1, ver 3.00)",preliminary
4in1b,39in1.cpp,39in1,2004,bootleg,4 in 1 MAME bootleg (set 2),preliminary
4in1boot,snowbros.cpp,,2002,K1 Soft,"Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)",good
4psimasy,niyanpai.cpp,,1994,Sphinx / AV Japan,Mahjong 4P Simasyo (Japan),good
4roses,4roses.cpp,,1999,<unknown>,"Four Roses (encrypted, set 1)",preliminary
4rosesa,4roses.cpp,4roses,1999,<unknown>,"Four Roses (encrypted, set 2)",preliminary
500gp,namcos23.cpp,,1998,Namco,500 GP (5GP3 Ver. C),preliminary
50lions,aristmk6.cpp,,2002,Aristocrat,"50 Lions (10120511, NSW/ACT)",preliminary
50lionsa,aristmk6.cpp,50lions,2003,Aristocrat,"50 Lions (10156111, Malaysia)",preliminary
5acespkr,vpoker.cpp,,198?,<unknown>,5-Aces Poker,preliminary
5clown,5clown.cpp,,1993,IGS,"Five Clown (English, set 1)",imperfect
5clowna,5clown.cpp,5clown,1993,IGS,"Five Clown (English, set 2)",imperfect
5clownsp,5clown.cpp,5clown,1993,IGS,Five Clown (Spanish hack),imperfect
600,galaxian.cpp,turtles,1981,Konami,600,good
60in1,39in1.cpp,39in1,2004,bootleg,60 in 1 MAME bootleg (ver 3.00),preliminary
64street,megasys1.cpp,,1991,Jaleco,64th. Street - A Detective Story (World),good
64streetj,megasys1.cpp,64street,1991,Jaleco,64th. Street - A Detective Story (Japan),good
68ksbc,68ksbc.cpp,,2002,Wichit Sirichote,68k Single Board Computer,good
720,atarisy2.cpp,,1986,Atari Games,720 Degrees (rev 4),good
720g,atarisy2.cpp,720,1986,Atari Games,"720 Degrees (German, rev 2)",good
720gr1,atarisy2.cpp,720,1986,Atari Games,"720 Degrees (German, rev 1)",good
720r1,atarisy2.cpp,720,1986,Atari Games,720 Degrees (rev 1),good
720r2,atarisy2.cpp,720,1986,Atari Games,720 Degrees (rev 2),good
720r3,atarisy2.cpp,720,1986,Atari Games,720 Degrees (rev 3),good
7jigen,dynax.cpp,,1990,Dynax,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan),imperfect
7mezzo,magicfly.cpp,,198?,<unknown>,7 e Mezzo,good
7ordi,nmg5.cpp,,2002,Yun Sung,7 Ordi (Korea),good
7smash,luckgrln.cpp,,1993,Sovic,7 Smash,preliminary
7toitsu,mitchell.cpp,mgakuen,1988,Yuga,Chi-Toitsu,good
800fath,scramble.cpp,mariner,1981,Amenip (US Billiards Inc. license),800 Fathoms,imperfect
86lions,aristmk4.cpp,,1985,Aristocrat,86 Lions,preliminary
88games,88games.cpp,,1988,Konami,'88 Games,good
8ball,cvs.cpp,,1982,Century Electronics,Video Eight Ball,imperfect
8ball1,cvs.cpp,8ball,1982,Century Electronics,Video Eight Ball (Rev.1),imperfect
8ballact,dkong.cpp,,1984,Seatongrove Ltd (Magic Electronics USA license),Eight Ball Action (DK conversion),good
8ballact2,dkong.cpp,8ballact,1984,Seatongrove Ltd (Magic Electronics USA license),Eight Ball Action (DKJr conversion),good
8bpm,pacman.cpp,8ballact,1985,Seatongrove Ltd (Magic Electronics USA license),Eight Ball Action (Pac-Man conversion),good
98best44,neoprint.cpp,,1998,SNK,Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07),preliminary
990189,tm990189.cpp,,1978,Texas Instruments,TM 990/189 University Board microcomputer,good
990189v,tm990189.cpp,990189,1980,Texas Instruments,TM 990/189 University Board microcomputer with Video Board Interface,good
99bottles,gammagic.cpp,gammagic,1999,Bally Gaming Co.,99 Bottles of Beer,preliminary
99lstwar,kyugo.cpp,repulse,1985,Crux / Proma,'99: The Last War (set 1),good
99lstwara,kyugo.cpp,repulse,1985,Crux / Proma,'99: The Last War (set 2),good
99lstwark,kyugo.cpp,repulse,1985,Crux / Kyugo,'99: The Last War (Kyugo),good
9ballsht,coolpool.cpp,,1993,E-Scape EnterMedia (Bundra license),9-Ball Shootout (set 1),good
9ballsht2,coolpool.cpp,9ballsht,1993,E-Scape EnterMedia (Bundra license),9-Ball Shootout (set 2),good
9ballsht3,coolpool.cpp,9ballsht,1993,E-Scape EnterMedia (Bundra license),9-Ball Shootout (set 3),good
9ballshtc,coolpool.cpp,9ballsht,1993,E-Scape EnterMedia (Bundra license),9-Ball Shootout Championship,good
a1000,amiga.cpp,,1985,Commodore,Amiga 1000 (PAL),preliminary
a1000n,amiga.cpp,a1000,1985,Commodore,Amiga 1000 (NTSC),preliminary
a1200,amiga.cpp,,1992,Commodore,Amiga 1200 (PAL),preliminary
a1200n,amiga.cpp,a1200,1992,Commodore,Amiga 1200 (NTSC),preliminary
a1200xl,atari400.cpp,a800,1982,Atari,Atari 1200XL,preliminary
a130xe,atari400.cpp,a800xl,1986,Atari,Atari 130XE,preliminary
a2000,amiga.cpp,,1987,Commodore,Amiga 2000 (PAL),preliminary
a2000n,amiga.cpp,a2000,1987,Commodore,Amiga 2000 (NTSC),preliminary
a2600,a2600.cpp,,1977,Atari,Atari 2600 (NTSC),good
a2600p,a2600.cpp,a2600,1978,Atari,Atari 2600 (PAL),good
a3000,amiga.cpp,,1990,Commodore,Amiga 3000 (PAL),preliminary
a3000n,amiga.cpp,a3000,1990,Commodore,Amiga 3000 (NTSC),preliminary
a3010,a310.cpp,a310,1988,Acorn,Archimedes 3010,preliminary
a3020,a310.cpp,a310,1988,Acorn,Archimedes 3020,preliminary
a310,a310.cpp,,1988,Acorn,Archimedes 310,preliminary
a400,atari400.cpp,,1979,Atari,Atari 400 (NTSC),good
a4000,amiga.cpp,,1992,Commodore,Amiga 4000/040 (PAL),preliminary
a400030,amiga.cpp,a4000,1993,Commodore,Amiga 4000/030 (PAL),preliminary
a400030n,amiga.cpp,a4000,1993,Commodore,Amiga 4000/030 (NTSC),preliminary
a4000n,amiga.cpp,a4000,1992,Commodore,Amiga 4000/040 (NTSC),preliminary
a4000t,amiga.cpp,,1994,Commodore,Amiga 4000T (PAL),preliminary
a4000tn,amiga.cpp,a4000t,1994,Commodore,Amiga 4000T (NTSC),preliminary
a400pal,atari400.cpp,a400,1979,Atari,Atari 400 (PAL),good
a500,amiga.cpp,,1987,Commodore,Amiga 500 (PAL),preliminary
a500n,amiga.cpp,a500,1987,Commodore,Amiga 500 (NTSC),preliminary
a500p,amiga.cpp,,1992,Commodore,Amiga 500 Plus (PAL),preliminary
a500pn,amiga.cpp,a500p,1992,Commodore,Amiga 500 Plus (NTSC),preliminary
a5105,a5105.cpp,,1989,VEB Robotron,BIC A5105,preliminary
a5120,a51xx.cpp,,1982,VEB Robotron,A5120,preliminary
a5130,a51xx.cpp,a5120,1983,VEB Robotron,A5130,preliminary
a51mxr3k,jaguar.cpp,area51mx,1998,Atari Games,Area 51 / Maximum Force Duo (R3000),good
a51site4,mediagx.cpp,,1998,Atari Games,"Area 51: Site 4 (HD Rev 2.01, September 7, 1998)",preliminary
a51site4a,mediagx.cpp,a51site4,1998,Atari Games,"Area 51: Site 4 (HD Rev 2.0, September 11, 1998)",preliminary
a5200,atari400.cpp,,1982,Atari,Atari 5200,good
a600,amiga.cpp,,1992,Commodore,Amiga 600 (PAL),preliminary
a600n,amiga.cpp,a600,1992,Commodore,Amiga 600 (NTSC),preliminary
a600xl,atari400.cpp,a800xl,1983,Atari,Atari 600XL,imperfect
a65xe,atari400.cpp,a800xl,1986,Atari,Atari 65XE,imperfect
a65xea,atari400.cpp,a800xl,1986,Atari,Atari 65XE (Arabic),preliminary
a6809,a6809.cpp,,1980,Acorn,System 3 (6809 CPU),good
a7000,riscpc.cpp,rpc600,1995,Acorn,Archimedes A7000,preliminary
a7000p,riscpc.cpp,rpc600,1997,Acorn,Archimedes A7000+,preliminary
a7150,a7150.cpp,,1986,VEB Robotron,A7150,preliminary
a7800,a7800.cpp,,1986,Atari,Atari 7800 (NTSC),good
a7800p,a7800.cpp,a7800,1986,Atari,Atari 7800 (PAL),good
a800,atari400.cpp,,1979,Atari,Atari 800 (NTSC),good
a800pal,atari400.cpp,a800,1979,Atari,Atari 800 (PAL),good
a800xe,atari400.cpp,a800xl,1986,Atari,Atari 800XE,imperfect
a800xl,atari400.cpp,,1983,Atari,Atari 800XL (NTSC),imperfect
a800xlp,atari400.cpp,a800xl,1983,Atari,Atari 800XL (PAL),imperfect
aadvent,konendev.cpp,,200?,Konami,African Adventure (Konami Endeavour),preliminary
aafb,leland.cpp,,1989,Leland Corp.,All American Football (rev E),good
aafbb,leland.cpp,aafb,1989,Leland Corp.,All American Football (rev B),preliminary
aafbc,leland.cpp,aafb,1989,Leland Corp.,All American Football (rev C),good
aafbd2p,leland.cpp,aafb,1989,Leland Corp.,"All American Football (rev D, 2 Players)",good
aar_101,de_3.cpp,,1992,Data East,Aaron Spelling (1.01),preliminary
aavenger,atari_s1.cpp,,1977,Atari,Airborne Avenger,preliminary
abacus,itgamble.cpp,,200?,<unknown>,Abacus (Ver 1.0),preliminary
abaseb,atarifb.cpp,,1979,Atari,Atari Baseball (set 1),good
abaseb2,atarifb.cpp,abaseb,1979,Atari,Atari Baseball (set 2),good
abattle,astrof.cpp,astrof,1979,bootleg? (Sidam),Astro Battle (set 1),imperfect
abattle2,astrof.cpp,astrof,1979,bootleg? (Sidam),Astro Battle (set 2),imperfect
abc110,bbc.cpp,bbcbp,1985,Acorn,ABC 110,preliminary
abc1600,abc1600.cpp,,1985,Luxor,ABC 1600,preliminary
abc310,bbc.cpp,bbcbp,1985,Acorn,ABC 310,preliminary
abc80,abc80.cpp,,1978,Luxor Datorer AB,ABC 80,good
abc800c,abc80x.cpp,,1981,Luxor Datorer AB,ABC 800 C/HR,good
abc800m,abc80x.cpp,abc800c,1981,Luxor Datorer AB,ABC 800 M/HR,good
abc802,abc80x.cpp,,1983,Luxor Datorer AB,ABC 802,good
abc806,abc80x.cpp,,1983,Luxor Datorer AB,ABC 806,good
abclimax,lindbergh.cpp,,2006,Sega,After Burner Climax (Export),preliminary
abcop,segaxbd.cpp,,1990,Sega,A.B. Cop (World) (FD1094 317-0169b),good
abcopd,segaxbd.cpp,abcop,1990,bootleg,A.B. Cop (World) (bootleg of FD1094 317-0169b set),good
abcopj,segaxbd.cpp,abcop,1990,Sega,A.B. Cop (Japan) (FD1094 317-0169b),good
abcopjd,segaxbd.cpp,abcop,1990,bootleg,A.B. Cop (Japan) (bootleg of FD1094 317-0169b set),good
abigchs,atronic.cpp,,2002,Atronic,Big Cheese (Russia) (Atronic),preliminary
abnudge,sfbonus.cpp,,2003,Amcoe,Animal Bonus Nudge (Version 2.1 Dual),good
abnudgeb,sfbonus.cpp,abnudge,2003,Amcoe,"Animal Bonus Nudge (Version 2.0, set 1)",good
abnudged,sfbonus.cpp,abnudge,2003,Amcoe,"Animal Bonus Nudge (Version 2.0, set 2)",good
abnudgeo,sfbonus.cpp,abnudge,2003,Amcoe,Animal Bonus Nudge (Version 1.7),good
abscam,pacman.cpp,puckman,1981,GL (US Billiards license),Abscam,good
abunai,nbmj8891.cpp,,1989,Green Soft,Abunai Houkago - Mou Matenai (Japan 890325),good
aburner,segaxbd.cpp,aburner2,1987,Sega,After Burner,good
aburner2,segaxbd.cpp,,1987,Sega,After Burner II,good
aburner2g,segaxbd.cpp,aburner2,1987,Sega,After Burner II (German),good
abv106,capcom.cpp,,1996,Capcom,Airborne,preliminary
abv106r,capcom.cpp,abv106,1996,Capcom,Airborne (Redemption),preliminary
ac1,ac1.cpp,,1984,Frank Heyder,Amateurcomputer AC1 Berlin,good
ac1_32,ac1.cpp,ac1,1984,Frank Heyder,Amateurcomputer AC1 Berlin (32 lines),good
ac1bbclb,aces1.cpp,,199?,Ace,Big Break Club (Ace) (ACESYS1) (set 1),preliminary
ac1bbclba,aces1.cpp,ac1bbclb,199?,Ace,Big Break Club (Ace) (ACESYS1) (set 2),preliminary
ac1bluec,aces1.cpp,,199?,Pcp,Blue Chip (Pcp) (ACESYS1) (set 1),preliminary
ac1blueca,aces1.cpp,ac1bluec,199?,Pcp,Blue Chip (Pcp) (ACESYS1) (set 2),preliminary
ac1bluecb,aces1.cpp,ac1bluec,199?,Pcp,Blue Chip (Pcp) (ACESYS1) (set 3),preliminary
ac1bluecc,aces1.cpp,ac1bluec,199?,Pcp,Blue Chip (Pcp) (ACESYS1) (set 4),preliminary
ac1bluecd,aces1.cpp,ac1bluec,199?,Pcp,Blue Chip (Pcp) (ACESYS1) (set 5),preliminary
ac1clbmn,aces1.cpp,,199?,Ace,Club Money (Ace) (ACESYS1) (set 1),preliminary
ac1clbsv,aces1.cpp,,199?,Ace,Club Sovereign (Ace) (ACESYS1),preliminary
ac1clbxt,aces1.cpp,,199?,Ace,Club Xtra (Ace) (ACESYS1) (set 1),preliminary
ac1clbxta,aces1.cpp,ac1clbxt,199?,Ace,Club Xtra (Ace) (ACESYS1) (set 2),preliminary
ac1cshtw,aces1.cpp,,199?,Ace,Cash Towers (Ace) (ACESYS1),preliminary
ac1dbldx,aces1.cpp,,199?,Pcp,Double Deluxe (Pcp) (ACESYS1),preliminary
ac1gogld,aces1.cpp,,199?,Ace,Go For Gold (Ace) (ACESYS1) (set 1),preliminary
ac1hideh,aces1.cpp,,199?,Ace,Hi De Hi Deluxe (Ace) (ACESYS1) (set 1),preliminary
ac1hideha,aces1.cpp,sp_hideh,199?,Ace,Hi De Hi Deluxe (Ace) (ACESYS1) (set 2),preliminary
ac1hotpf,aces1.cpp,,199?,Ace,Hot Profit (Ace) (ACESYS1),preliminary
ac1nudbk,aces1.cpp,,199?,Pcp,Nudge Break (Pcp) (ACESYS1) (set 1),preliminary
ac1nudbka,aces1.cpp,ac1nudbk,199?,Pcp,Nudge Break (Pcp) (ACESYS1) (set 2),preliminary
ac1nudbkb,aces1.cpp,ac1nudbk,199?,Pcp,Nudge Break (Pcp) (ACESYS1) (set 3),preliminary
ac1nudbkc,aces1.cpp,ac1nudbk,199?,Pcp,Nudge Break (Pcp) (ACESYS1) (set 4),preliminary
ac1nudbkd,aces1.cpp,ac1nudbk,199?,Pcp,Nudge Break (Pcp) (ACESYS1) (set 5),preliminary
ac1piaca,aces1.cpp,,199?,Ace,Play It Again Casino (Ace) (ACESYS1),preliminary
ac1piacl,aces1.cpp,,199?,Ace,Play It Again Club (Ace) (ACESYS1) (set 1),preliminary
ac1piacla,aces1.cpp,ac1piacl,199?,Ace,Play It Again Club (Ace) (ACESYS1) (set 2),preliminary
ac1piaclb,aces1.cpp,ac1piacl,199?,Ace,Play It Again Club (Ace) (ACESYS1) (set 3),preliminary
ac1piaclc,aces1.cpp,ac1piacl,199?,Ace,Play It Again Club (Ace) (ACESYS1) (set 4),preliminary
ac1primt,aces1.cpp,,199?,Ace,Primetime (Ace) (ACESYS1) (set 1),preliminary
ac1prmcl,aces1.cpp,,199?,Ace,Premier Club (Ace) (ACESYS1) (set 1),preliminary
ac1prmcla,aces1.cpp,ac1prmcl,199?,Ace,Premier Club (Ace) (ACESYS1) (set 2),preliminary
ac1prmclb,aces1.cpp,ac1prmcl,199?,Ace,Premier Club (Ace) (ACESYS1) (set 3),preliminary
ac1prmclc,aces1.cpp,ac1prmcl,199?,Ace,Premier Club (Ace) (ACESYS1) (set 4),preliminary
ac1pster,aces1.cpp,,199?,Ace,Pound Sterling (Ace) (ACESYS1),preliminary
ac1pstrt,aces1.cpp,,199?,Pcp,Pound Stretcher (Pcp) (ACESYS1),preliminary
ac1roll,aces1.cpp,,199?,Pcp,Roll Up (Pcp) (ACESYS1) (set 1),preliminary
ac1rolla,aces1.cpp,ac1roll,199?,Pcp,Roll Up (Pcp) (ACESYS1) (set 2),preliminary
ac1rollb,aces1.cpp,ac1roll,199?,Pcp,Roll Up (Pcp) (ACESYS1) (set 3),preliminary
ac1rundx,aces1.cpp,,199?,Ace,Runner Deluxe Club (Ace) (ACESYS1) (set 1),preliminary
ac1rundxa,aces1.cpp,ac1rundx,199?,Ace,Runner Deluxe Club (Ace) (ACESYS1) (set 2),preliminary
ac1scch,ac1.cpp,ac1,1984,Frank Heyder,Amateurcomputer AC1 SCCH,good
ac1shid,aces1.cpp,,199?,Ace,Super Hi De Hi (Ace) (ACESYS1) (set 1),preliminary
ac1shida,aces1.cpp,ac1shid,199?,Ace,Super Hi De Hi (Ace) (ACESYS1) (set 2),preliminary
ac1sstrk,aces1.cpp,,199?,Pcp,Starstruck (Pcp) (ACESYS1) (set 1),preliminary
ac1sstrka,aces1.cpp,ac1sstrk,199?,Pcp,Starstruck (Pcp) (ACESYS1) (set 2),preliminary
ac1sstrkb,aces1.cpp,ac1sstrk,199?,Pcp,Starstruck (Pcp) (ACESYS1) (set 3),preliminary
ac1taklv,aces1.cpp,,199?,Ace,Take It Or Leave It (Ace) (ACESYS1) (set 1),preliminary
ac1totb,aces1.cpp,,199?,Ace,Top Of The Bill (Ace) (ACESYS1),preliminary
ac1xpres,aces1.cpp,,199?,Pcp,Xpress (Pcp) (ACESYS1),preliminary
academy,mmodular.cpp,,1989,Hegener & Glaser,Mephisto Academy Schachcomputer,preliminary
ace,ace.cpp,,1976,Allied Leisure,Ace,preliminary
ace100,apple2.cpp,apple2,1982,Franklin Computer,Franklin Ace 100,good
aceattac,segas16b.cpp,,1988,Sega,Ace Attacker (FD1094 317-0059),good
aceattaca,segas16a.cpp,aceattac,1988,Sega,"Ace Attacker (Japan, System 16A, FD1094 317-0060)",good
acedrvrw,namcos22.cpp,,1994,Namco,Ace Driver: Racing Evolution (Rev. AD2),imperfect
acefruit,acefruit.cpp,,1982?,ACE,Silhouette,preliminary
acheart,nexus3d.cpp,,2005,Examu,Arcana Heart,preliminary
